REGION,SITE,PLOT,TREATMENT,SEASON,SPECIES,ABUNDANCE
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0.1875
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0.5625
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0.125
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0.1875
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0.625
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0.1875
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0.375
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0.0625
CARMEL,NORTH,2,FS,Spring 2016,ARTCOR,0
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0.625
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0.375
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0.25
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0.125
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0.1875
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0.3125
CARMEL,NORTH,3,FW,Spring 2016,ARTCOR,0.375
CARMEL,NORTH,4,FW,Spring 2016,ARTCOR,0.25
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0.375
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0.125
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0.1875
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0.375
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0.0625
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0.4375
CARMEL,NORTH,4,IS,Spring 2016,ARTCOR,0.125
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0.1875
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0.125
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0.125
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0.3125
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0.4375
CARMEL,SOUTH,1,FS,Summer 2016,ARTCOR,0.0625
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0.1875
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0.1875
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0.3125
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0.5
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0
CARMEL,SOUTH,2,IS,Summer 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0.1875
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0.0625
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.125
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.3125
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.25
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.375
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.3125
CARMEL,SOUTH,4,FW,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,1,FS,Summer 2016,ARTCOR,0.125
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0.375
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Summer 2016,ARTCOR,0.25
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0.125
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0.125
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0.25
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Summer 2016,ARTCOR,0.25
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0.25
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0.25
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0.4375
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Summer 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0.1875
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0.1875
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0.1875
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0.8125
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0.4375
CARMEL,NORTH,1,CONTROL,Summer 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0.3125
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0.375
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0.3125
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0.3125
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0.375
CARMEL,NORTH,2,FS,Summer 2016,ARTCOR,0.1875
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0.5
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0.25
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0.25
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0.3125
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0.375
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0.5
CARMEL,NORTH,3,FW,Summer 2016,ARTCOR,0.5
CARMEL,NORTH,4,FW,Summer 2016,ARTCOR,0.375
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0.375
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0.3125
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0.25
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0.1875
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0.25
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0.3125
CARMEL,NORTH,4,IS,Summer 2016,ARTCOR,0.1875
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0.1875
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0.3125
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0.125
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0.1875
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0.1875
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0.3125
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0.3125
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0.25
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0.3125
CARMEL,SOUTH,2,IS,Fall 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0.125
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0.125
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Fall 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0.3125
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0.1875
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0.375
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0.1875
CARMEL,SOUTH,4,FW,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0.25
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0.1875
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Fall 2016,ARTCOR,0.3125
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0.25
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0.375
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0.1875
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0.125
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0.375
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0.1875
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0.3125
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0.1875
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0.625
CARMEL,CENTRAL,3,FW,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0.3125
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0.3125
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Fall 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0.0625
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0.375
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0.1875
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0.5625
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0.125
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Fall 2016,ARTCOR,0.1875
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0.625
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0.1875
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0.375
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0.0625
CARMEL,NORTH,2,FS,Fall 2016,ARTCOR,0
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0.625
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0.375
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0.25
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0.125
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0.1875
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0.3125
CARMEL,NORTH,3,FW,Fall 2016,ARTCOR,0.375
CARMEL,NORTH,4,FW,Fall 2016,ARTCOR,0.25
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0.375
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0.125
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0.1875
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0.375
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0.0625
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0.4375
CARMEL,NORTH,4,IS,Fall 2016,ARTCOR,0.125
CARMEL,SOUTH,1,FS,Spring 2017,ARTCOR,0
CARMEL,SOUTH,1,FS,Spring 2017,ARTCOR,0.375
CARMEL,SOUTH,1,FS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,1,FS,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,1,FS,Winter 2017,ARTCOR,0.1875
CARMEL,SOUTH,1,FS,Winter 2017,ARTCOR,0.1875
CARMEL,SOUTH,1,FS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,1,FS,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,1,FS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0.4375
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0.6875
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0.1875
CARMEL,SOUTH,2,IS,Winter 2017,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0.3125
CARMEL,SOUTH,3,CONTROL,Winter 2017,ARTCOR,0.0625
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0.5625
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0.25
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0.5
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0.1875
CARMEL,SOUTH,4,FW,Winter 2017,ARTCOR,0.375
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0.25
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0.1875
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0.125
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0.1875
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0.25
CARMEL,CENTRAL,1,FS,Winter 2017,ARTCOR,0.125
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0.3125
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,2,IS,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0.1875
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,3,FW,Winter 2017,ARTCOR,0.8125
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Winter 2017,ARTCOR,0
